iter	Logloss
0	0.6875935049
1	0.6833041759
2	0.6790190325
3	0.6735365213
4	0.670069824
5	0.6667491391
6	0.6640255981
7	0.6605837415
8	0.655848505
9	0.6513716511
10	0.6485510681
11	0.6455339819
12	0.6423051423
13	0.6379195536
14	0.633601166
15	0.6309949579
16	0.6269711574
17	0.6241832587
18	0.6220934768
19	0.6183246233
20	0.6140021187
21	0.6110379034
22	0.6072385306
23	0.6045164807
24	0.6013541002
25	0.5973506669
26	0.5949798844
27	0.5908390766
28	0.5883377487
29	0.5850879009
30	0.5822723548
31	0.5798653284
32	0.5764567991
33	0.57221109
34	0.5707440984
35	0.5675041893
36	0.5641685006
37	0.5615497007
38	0.559180862
39	0.5564690351
40	0.5537002637
41	0.5511605444
42	0.5486849202
43	0.5467718405
44	0.5437355366
45	0.5407121104
46	0.539049213
47	0.5366594708
48	0.5342299809
49	0.532380642
50	0.5300444085
51	0.5283550958
52	0.5270586744
53	0.5249529341
54	0.5237487298
55	0.5211031739
56	0.5195247882
57	0.5176869537
58	0.5159130236
59	0.5137653287
60	0.5115200924
61	0.5098708106
62	0.5078825714
63	0.5067452783
64	0.5044756552
65	0.5014068107
66	0.5000042352
67	0.4975837933
68	0.4955179417
69	0.4934998649
70	0.4906758128
71	0.4893946587
72	0.4874747849
73	0.4847002215
74	0.4824294357
75	0.4803589517
76	0.4787111019
77	0.4769930629
78	0.4755243465
79	0.4732929836
80	0.4718688948
81	0.469873207
82	0.4685548836
83	0.4672389998
84	0.4665268772
85	0.4649580286
86	0.4637811686
87	0.46239498
88	0.4600524007
89	0.4574033095
90	0.4555396177
91	0.4539371538
92	0.4526587885
93	0.4512551467
94	0.4497021245
95	0.4475922103
96	0.445443461
97	0.4434819767
98	0.4411941724
99	0.4396665244
100	0.4383837941
101	0.4369720555
102	0.4355641371
103	0.4336791426
104	0.4313279144
105	0.4300159163
106	0.4286806896
107	0.425831721
108	0.4248793316
109	0.4235490024
110	0.4214833053
111	0.4196239072
112	0.4185077244
113	0.4171323702
114	0.4158646303
115	0.4145289121
116	0.4133813252
117	0.4116797342
118	0.4103359354
119	0.4089939129
120	0.408229741
121	0.4072235408
122	0.4049916137
123	0.4038480522
124	0.4026902857
125	0.4016408222
126	0.4007938467
127	0.3996094148
128	0.3980820996
129	0.3966437084
130	0.3949766382
131	0.3940822006
132	0.3924060429
133	0.3909048514
134	0.3894776566
135	0.3877355777
136	0.3858432815
137	0.3847218307
138	0.3838399641
139	0.3823506943
140	0.381171393
141	0.3796271624
142	0.378370465
143	0.3772789134
144	0.3754733734
145	0.3735369261
146	0.3721206988
147	0.3711573911
148	0.3696630245
149	0.3687493669
150	0.367298242
151	0.3660005188
152	0.3644376799
153	0.3637018635
154	0.3622614373
155	0.3614205345
156	0.3604151031
157	0.3595435497
158	0.3586498293
159	0.3576627868
160	0.3564291252
161	0.3552664208
162	0.3543584862
163	0.3529285441
164	0.3520164166
165	0.3506858337
166	0.349525983
167	0.3481860267
168	0.3473567214
169	0.3465085912
170	0.3451779819
171	0.3447458614
172	0.3436628106
173	0.3428512287
174	0.3419626665
175	0.3399595713
176	0.3391521087
177	0.3383098692
178	0.337539844
179	0.3367865737
180	0.3358859898
181	0.3348189035
182	0.3331329863
183	0.3323242978
184	0.3316196212
185	0.3307135679
186	0.3297504117
187	0.3290476242
188	0.3284260893
189	0.3271550587
190	0.3262965873
191	0.3250569853
192	0.3237025983
193	0.3227501827
194	0.3219600166
195	0.3214790711
196	0.3207527262
197	0.3195370096
198	0.3188718408
199	0.3179501738
200	0.3167122653
201	0.3153537479
202	0.3139643064
203	0.312779619
204	0.3113141499
205	0.3105049395
206	0.3093558101
207	0.3089438231
208	0.3083215558
209	0.3078730139
210	0.3074190796
211	0.3058164306
212	0.3050880552
213	0.3043770093
214	0.3031941683
215	0.3026000643
216	0.3019205473
217	0.3008662573
218	0.2995701371
219	0.2987099534
220	0.2976254515
221	0.2965847347
222	0.2957977011
223	0.2952081408
224	0.2942005438
225	0.293803713
226	0.2932595514
227	0.2925778366
228	0.2917542422
229	0.2914706469
230	0.2908213433
231	0.2901054926
232	0.2891142292
233	0.2884643016
234	0.2877326386
235	0.287007417
236	0.2854543059
237	0.2847533049
238	0.2839350503
239	0.2831134807
240	0.2816979303
241	0.2808488847
242	0.2797265362
243	0.2789290605
244	0.278365689
245	0.2775574468
246	0.2766575509
247	0.2761949449
248	0.2751971408
249	0.274268335
250	0.2736895981
251	0.2725762978
252	0.2720158956
253	0.2712258694
254	0.2705307286
255	0.2698905995
256	0.2696093302
257	0.2688406927
258	0.26819979
259	0.2673400503
260	0.2668180239
261	0.2661015934
262	0.2654120035
263	0.2647537962
