iter	Passed	Remaining
0	542	542204
1	547	273309
2	552	183761
3	559	139204
4	563	112178
5	569	94334
6	574	81556
7	579	71873
8	585	64455
9	590	58468
10	595	53513
11	601	49509
12	606	46056
13	611	43055
14	617	40519
15	622	38287
16	627	36271
17	633	34582
18	639	32996
19	643	31543
20	649	30278
21	655	29151
22	660	28054
23	667	27145
24	672	26220
25	677	25363
26	684	24658
27	688	23917
28	693	23224
29	700	22654
30	705	22048
31	710	21477
32	717	21016
33	721	20509
34	726	20031
35	733	19643
36	738	19216
37	743	18816
38	750	18484
39	754	18117
40	760	17792
41	766	17482
42	771	17162
43	776	16878
44	782	16597
45	786	16317
46	792	16069
47	797	15822
48	802	15573
49	807	15346
50	813	15137
51	818	14914
52	823	14710
53	828	14517
54	833	14318
55	838	14135
56	845	13983
57	849	13804
58	855	13639
59	860	13488
60	865	13325
61	871	13184
62	876	13040
63	881	12891
64	886	12755
65	892	12632
66	897	12495
67	904	12398
68	910	12280
69	914	12154
70	922	12065
71	926	11946
72	931	11829
73	939	11753
74	944	11643
75	948	11535
76	958	11483
77	962	11380
78	969	11303
79	974	11212
80	980	11122
81	988	11063
82	992	10970
83	997	10878
84	1005	10819
85	1009	10731
86	1014	10645
87	1021	10581
88	1025	10499
89	1030	10421
90	1037	10362
91	1042	10284
92	1047	10211
93	1053	10157
94	1058	10083
95	1063	10017
96	1069	9955
97	1074	9886
98	1079	9822
99	1084	9764
100	1089	9698
101	1094	9637
102	1101	9588
103	1105	9526
104	1110	9468
105	1116	9418
106	1121	9358
107	1126	9302
108	1132	9257
109	1137	9200
110	1142	9147
111	1149	9112
112	1154	9059
113	1161	9030
114	1167	8982
115	1172	8932
116	1179	8902
117	1184	8852
118	1189	8803
119	1196	8774
120	1201	8726
121	1206	8681
122	1212	8646
123	1217	8600
124	1222	8557
125	1228	8523
126	1233	8480
127	1239	8444
128	1245	8407
129	1250	8365
130	1255	8331
131	1261	8296
132	1266	8255
133	1272	8222
134	1277	8187
135	1282	8148
136	1288	8117
137	1294	8083
138	1298	8044
139	1304	8013
140	1309	7979
141	1314	7942
142	1319	7909
143	1325	7879
144	1330	7843
145	1335	7811
146	1342	7787
147	1346	7753
148	1352	7722
149	1358	7695
150	1362	7662
151	1368	7635
152	1374	7608
153	1379	7576
154	1385	7551
155	1390	7523
156	1395	7491
157	1401	7466
158	1406	7437
159	1410	7407
160	1416	7384
161	1422	7357
162	1427	7327
163	1432	7304
164	1438	7279
165	1443	7251
166	1448	7227
167	1454	7204
168	1459	7176
169	1465	7154
170	1471	7132
171	1475	7104
172	1481	7083
173	1487	7059
174	1491	7033
175	1497	7012
176	1502	6987
177	1507	6962
178	1512	6938
179	1518	6917
180	1523	6891
181	1528	6869
182	1534	6851
183	1539	6827
